start_latitude,start_longitude,end_latitude,end_longitude,segment_end_condition,segment_type,speed_limit,weather_group,distance,heading,elevation,grade,road_incline_angle,sine_road_incline_angle,gravity,gravity_times_sine_road_incline_angle
-12.4655499,130.8424719,-12.4655143,130.8425445,max_heading_change,race,11.11111,1.0049053,8.82,1.1053868,41.0,-0.0302568,-1.7330582,-0.030243,9.7814679,-0.2958209
-12.4655143,130.8425445,-12.4653987,130.842738,max_grade_change,race,11.11111,1.0048812,24.63,1.0217157,41.5,-0.0233517,-1.3377107,-0.0233453,9.7814524,-0.2283509
-12.4653987,130.842738,-12.4653866,130.8427493,max_grade_change,race,11.11111,1.004862,1.82,0.7393389,42.0,-0.0228694,-1.3100917,-0.0228634,9.781437,-0.2236369
-12.4653866,130.8427493,-12.4653315,130.8428,max_grade_change,race,11.11111,1.0048541,8.24,0.7319562,42.0,-0.0207272,-1.1874111,-0.0207227,9.781437,-0.2026978
-12.4653315,130.8428,-12.4653236,130.8428085,max_grade_change,race,11.11111,1.0048466,1.27,0.8100597,42.0,-0.0204021,-1.1687921,-0.0203979,9.781437,-0.1995208
-12.4653236,130.8428085,-12.4653156,130.8428161,max_grade_change,race,11.11111,1.0048447,1.21,0.7478561,42.0,-0.0200942,-1.1511579,-0.0200901,9.781437,-0.19651
-12.4653156,130.8428161,-12.4653074,130.8428244,max_grade_change,race,11.11111,1.0048427,1.28,0.7795339,42.0,-0.0197705,-1.1326187,-0.0197666,9.781437,-0.1933458
-12.4653074,130.8428244,-12.4652905,130.842852,max_grade_change,race,11.11111,1.0048391,3.54,1.0106853,42.0,-0.0188862,-1.0819709,-0.0188828,9.7814369,-0.1847009
-12.4652905,130.842852,-12.4652852,130.8428604,max_heading_change,race,11.11111,1.0048358,1.09,0.9971066,42.0,-0.0186176,-1.0665867,-0.0186144,9.7814369,-0.1820756
-12.4652852,130.8428604,-12.4652781,130.8428755,max_heading_change,race,11.11111,1.0048337,1.82,1.1220198,42.0,-0.0181699,-1.040944,-0.0181669,9.7814369,-0.1776984
-12.4652781,130.8428755,-12.4652111,130.8429545,max_heading_change,race,11.11111,1.0048238,11.36,0.8556128,42.0,-0.0154399,-0.8845708,-0.0154381,9.7814369,-0.1510068
-12.4652111,130.8429545,-12.4651957,130.8429664,max_heading_change,race,11.11111,1.0048134,2.15,0.6463827,42.0,-0.0149471,-0.856342,-0.0149454,9.7814369,-0.1461875
-12.4651957,130.8429664,-12.4651749,130.8429849,max_grade_change,race,11.11111,1.0048093,3.06,0.7151138,42.0,-0.0142522,-0.8165356,-0.0142508,9.7814369,-0.1393933
