city,group,lat,lon
Darwin,1,-12.420,130.878
AdelaideRiver,2,-13.239,131.106
PineCreek,3,-13.822,131.836
Katherine,4,-14.467,132.267
Larrimah,5,-15.5739,133.217
DalyWaters,6,-16.264,133.380
Dunmarra,7,-16.679,133.412
Elliott,8,-17.55278,133.54054
TennantCreek,9,-19.633,134.183
AliCurung,10,-21.005,134.404
BarrowCreek,11,-21.53,133.89
TiTree,12,-22.129,133.416
AliceSprings,13,-23.699,133.880
Kulgera,14,-25.840,133.299
Marla,15,-27.302,133.624
CooberPedy,16,-29.01,134.755
Glendambo,17,-30.969,135.749
Pimba,18,-31.253,136.780
PortAugusta,19,-32.509,137.721
PortGermein,20,-33.019,138.000
PortWakefield,21,-34.18,138.15
Dublin,22,-34.45,138.35
Adelaide,23,-34.9259,138.5998
